"date","energy_label","main_refinancing_rate"
2023-05-31,"B",3.75
2023-05-31,"≥A",3.75
2023-05-31,"C",3.75
2023-05-31,"B",3.75
2023-05-31,"D",3.75
2023-05-31,"≥A",3.75
2023-05-31,"B",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"F",3.75
2023-05-31,"C",3.75
2023-05-31,"B",3.75
2023-05-31,"B",3.75
2023-05-31,"C",3.75
2023-05-31,"E",3.75
2023-05-31,"C",3.75
2023-05-31,"E",3.75
2023-05-31,"≥A",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"F",3.75
2023-05-31,"B",3.75
2023-05-31,"C",3.75
2023-05-31,"B",3.75
2023-05-31,"≥A",3.75
2023-05-31,"C",3.75
2023-05-31,"≥A",3.75
2023-05-31,"E",3.75
2023-05-31,"C",3.75
2023-05-31,"D",3.75
2023-05-31,"G",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"D",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"B",3.75
2023-05-31,"D",3.75
2023-05-31,"B",3.75
2023-05-31,"≥A",3.75
2023-05-31,"G",3.75
2023-05-31,"B",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"E",3.75
2023-05-31,"C",3.75
2023-05-31,"E",3.75
2023-05-31,"C",3.75
2023-05-31,"E",3.75
2023-05-31,"≥A",3.75
2023-05-31,"C",3.75
2023-05-31,"B",3.75
2023-05-31,"C",3.75
2023-05-31,"≥A",3.75
2023-05-31,"B",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"B",3.75
2023-05-31,"D",3.75
2023-05-31,"C",3.75
2023-05-31,"B",3.75
2023-05-31,"B",3.75
2023-05-31,"D",3.75
2023-05-31,"C",3.75
2023-05-31,"F",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"D",3.75
2023-05-31,"D",3.75
2023-05-31,"≥A",3.75
2023-05-31,"D",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"B",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"C",3.75
2023-05-31,"D",3.75
2023-05-31,"D",3.75
2023-05-31,"B",3.75
2023-05-31,"D",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"G",3.75
2023-05-31,"≥A",3.75
2023-05-31,"G",3.75
2023-05-31,"B",3.75
